2016-05-10 21:12:43.708051|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.0.12.4 (2016-04-25 15:16:45)
2016-05-10 21:12:43.708381|INFO    |ServerLibPriv |   |SystemInformation: Linux 4.4.0-22-generic #39-Ubuntu SMP Thu May 5 16:53:32 UTC 2016 x86_64 Binary: 64bit
2016-05-10 21:12:43.708462|WARNING |ServerLibPriv |   |The system locale is set to "C" this can cause unexpected behavior. We advice you to repair your locale!
2016-05-10 21:12:43.708510|INFO    |ServerLibPriv |   |Using hardware aes
2016-05-10 21:12:43.709297|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2016-05-10 21:12:43.709382|INFO    |DatabaseQuery |   |dbPlugin version: 3.8.6
2016-05-10 21:12:43.709682|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2016-05-10 21:12:43.728817|WARNING |Accounting    |   |Unable to find valid license key, falling back to limited functionality
2016-05-10 21:12:44.728128|INFO    |              |   |Puzzle precompute time: 969
2016-05-10 21:12:44.729882|INFO    |FileManager   |   |listening on 0.0.0.0:30033
2016-05-10 21:12:44.801458|INFO    |Query         |   |listening on 0.0.0.0:10011
2016-05-13 21:54:52.547653|INFO    |Query         |   |query from 3 172.17.0.1:56208 attempted to login with account "serveradmin" and failed!
2016-05-13 21:55:31.025608|INFO    |Query         |   |query from 3 172.17.0.1:56208 issued: login with account "serveradmin"(serveradmin)
2016-05-13 22:00:19.073795|INFO    |Query         |   |query from 4 172.17.0.1:56212 issued: login with account "serveradmin"(serveradmin)
2016-05-14 02:04:29.928409|INFO    |Query         |   |query from 5 172.17.0.1:56218 issued: login with account "serveradmin"(serveradmin)
2016-05-14 02:05:58.710993|INFO    |Query         |   |query from 6 172.17.0.1:56224 issued: login with account "serveradmin"(serveradmin)
2016-05-14 02:22:44.962103|INFO    |Query         |   |query from 8 172.17.0.1:56232 issued: login with account "serveradmin"(serveradmin)
